Date,Close
2022-04-11,382.0
2022-04-12,370.0
2022-04-13,374.0
2022-04-14,376.0
2022-04-18,378.0
2022-04-19,358.0
2022-04-20,338.0
2022-04-21,340.0
2022-04-22,340.0
2022-04-25,328.0
2022-04-26,310.0
2022-04-27,290.0
2022-04-28,272.0
2022-05-09,254.0
2022-05-10,238.0
2022-05-11,222.0
2022-05-12,208.0
2022-05-13,194.0
2022-05-17,200.0
2022-05-18,248.0
2022-05-19,280.0
2022-05-20,304.0
2022-05-23,296.0
2022-05-24,302.0
2022-05-25,304.0
2022-05-27,312.0
2022-05-30,314.0
2022-05-31,304.0
2022-06-02,344.0
2022-06-03,354.0
2022-06-06,330.0
2022-06-07,364.0
2022-06-08,378.0
2022-06-09,384.0
2022-06-10,386.0
2022-06-13,388.0
2022-06-14,400.0
2022-06-15,404.0
2022-06-16,392.0
2022-06-17,366.0
2022-06-20,370.0
2022-06-21,378.0
2022-06-22,380.0
2022-06-23,380.0
2022-06-24,392.0
2022-06-27,394.0
2022-06-28,392.0
2022-06-29,390.0
2022-06-30,388.0
2022-07-01,370.0
2022-07-04,346.0
2022-07-05,334.0
2022-07-06,324.0
2022-07-07,338.0
2022-07-08,350.0
2022-07-11,338.0
2022-07-12,330.0
2022-07-13,324.0
2022-07-14,332.0
2022-07-15,320.0
2022-07-18,298.0
2022-07-19,302.0
2022-07-20,308.0
2022-07-21,300.0
2022-07-22,308.0
2022-07-25,300.0
2022-07-26,292.0
2022-07-27,294.0
2022-07-28,306.0
2022-07-29,296.0
2022-08-01,286.0
2022-08-02,286.0
2022-08-03,296.0
2022-08-04,296.0
2022-08-05,296.0
2022-08-08,282.0
2022-08-09,280.0
2022-08-10,280.0
2022-08-11,296.0
2022-08-12,292.0
2022-08-15,294.0
2022-08-16,324.0
2022-08-18,334.0
2022-08-19,334.0
2022-08-22,320.0
2022-08-23,326.0
2022-08-24,328.0
2022-08-25,326.0
2022-08-26,318.0
2022-08-29,320.0
2022-08-30,324.0
2022-08-31,302.0
2022-09-01,290.0
2022-09-02,284.0
2022-09-05,282.0
2022-09-06,282.0
2022-09-07,282.0
2022-09-08,286.0
2022-09-09,282.0
2022-09-12,278.0
2022-09-13,276.0
2022-09-14,272.0
2022-09-15,266.0
2022-09-16,248.0
2022-09-19,242.0
2022-09-20,266.0
2022-09-21,264.0
2022-09-22,264.0
2022-09-23,264.0
2022-09-26,256.0
2022-09-27,252.0
2022-09-28,258.0
2022-09-29,250.0
2022-09-30,246.0
2022-10-03,238.0
2022-10-04,238.0
2022-10-05,242.0
2022-10-06,246.0
2022-10-07,244.0
2022-10-10,242.0
2022-10-11,228.0
2022-10-12,218.0
2022-10-13,212.0
2022-10-14,202.0
2022-10-17,208.0
2022-10-18,206.0
2022-10-19,204.0
2022-10-20,206.0
2022-10-21,200.0
2022-10-24,190.0
2022-10-25,193.0
2022-10-26,197.0
2022-10-27,198.0
2022-10-28,189.0
2022-10-31,186.0
2022-11-01,184.0
2022-11-02,195.0
2022-11-03,200.0
2022-11-04,200.0
2022-11-07,197.0
2022-11-08,194.0
2022-11-09,199.0
2022-11-10,188.0
2022-11-11,210.0
2022-11-14,204.0
2022-11-15,204.0
2022-11-16,218.0
2022-11-17,214.0
2022-11-18,222.0
2022-11-21,210.0
2022-11-22,196.0
2022-11-23,191.0
2022-11-24,188.0
2022-11-25,185.0
2022-11-28,173.0
2022-11-29,162.0
2022-11-30,151.0
2022-12-01,141.0
2022-12-02,132.0
2022-12-05,123.0
2022-12-06,115.0
2022-12-07,107.0
2022-12-08,100.0
2022-12-09,93.0
2022-12-12,87.0
2022-12-13,100.0
2022-12-14,94.0
2022-12-15,97.0
2022-12-16,96.0
2022-12-19,92.0
2022-12-20,87.0
2022-12-21,89.0
2022-12-22,89.0
2022-12-23,86.0
2022-12-26,82.0
2022-12-27,91.0
2022-12-28,91.0
2022-12-29,97.0
2022-12-30,91.0
2023-01-02,93.0
2023-01-03,95.0
2023-01-04,96.0
2023-01-05,92.0
2023-01-06,95.0
2023-01-09,93.0
2023-01-10,95.0
2023-01-11,94.0
2023-01-12,97.0
2023-01-13,105.0
2023-01-16,107.0
2023-01-17,114.0
2023-01-18,114.0
2023-01-19,115.0
2023-01-20,114.0
2023-01-24,119.0
2023-01-25,117.0
2023-01-26,115.0
2023-01-27,117.0
2023-01-30,113.0
2023-01-31,112.0
2023-02-01,113.0
2023-02-02,124.0
2023-02-03,124.0
2023-02-06,120.0
2023-02-07,123.0
2023-02-08,120.0
2023-02-09,112.0
2023-02-10,105.0
2023-02-13,116.0
2023-02-14,119.0
2023-02-15,118.0
2023-02-16,121.0
2023-02-17,125.0
2023-02-20,122.0
2023-02-21,121.0
2023-02-22,116.0
2023-02-23,116.0
2023-02-24,120.0
2023-02-27,118.0
2023-02-28,118.0
2023-03-01,122.0
2023-03-02,121.0
2023-03-03,124.0
2023-03-06,128.0
2023-03-07,129.0
2023-03-08,130.0
2023-03-09,129.0
2023-03-10,125.0
2023-03-13,126.0
2023-03-14,121.0
2023-03-15,121.0
2023-03-16,117.0
2023-03-17,116.0
2023-03-20,108.0
2023-03-21,110.0
2023-03-24,114.0
